donor	stratum	population	family	paired_RCCX_annotations	experimental_HLA_labels
HG00408	EAS	CHS	HG00406	1	0
HG00423	EAS	CHS	HG00421	1	0
HG00438	EAS	CHS	HG00436	1	0
HG00544	EAS	CHS	HG00542	1	0
HG00558	EAS	CHS	HG00556	1	0
HG00597	EAS	CHS	HG00595	1	0
HG00609	EAS	CHS	HG00607	1	0
HG00621	EAS	CHS	HG00619	1	0
HG00658	EAS	CHS	HG00656	1	0
HG00673	EAS	CHS	HG00671	1	0
HG00706	EAS	CHS	HG00704	1	0
HG02015	EAS	KHV	HG02015	1	0
HG02027	EAS	KHV	HG02027	1	0
HG02040	EAS	KHV	HG02040	1	0
HG02056	EAS	KHV	HG02056	1	0
HG02071	EAS	KHV	HG02071	1	0
HG02074	EAS	KHV	HG02074	1	0
HG02080	EAS	KHV	HG02080	1	0
HG02083	EAS	KHV	HG02083	1	0
HG02129	EAS	KHV	HG02129	1	0
HG02132	EAS	KHV	HG02132	1	0
HG02135	EAS	KHV	HG02135	1	0
HG02155	EAS	CDX	HG02155	1	0
HG02165	EAS	CDX	HG02165	1	0
HG02178	EAS	CDX	HG02178	1	0
HG02391	EAS	CDX	HG02391	1	0
HG02392	EAS	CDX	HG02392	1	0
HG02514	EAS	KHV	HG02512	1	0
HG02523	EAS	KHV	HG02521	1	0
HG02602	SAS	PJL	HG02600	1	0
HG02698	SAS	PJL	HG02696	1	0
HG02735	SAS	PJL	HG02733	1	0
HG02738	SAS	PJL	HG02736	1	0
HG03017	SAS	PJL	HG03015	1	0
HG03239	SAS	PJL	HG03237	1	0
HG03654	SAS	PJL	HG03652	1	0
HG03669	SAS	PJL	HG03667	1	0
HG03688	SAS	STU	HG03688	1	0
HG03704	SAS	PJL	HG03702	1	0
HG03710	SAS	PJL	HG03708	1	0
HG03742	SAS	ITU	HG03742	1	0
HG03784	SAS	ITU	HG03784	1	0
HG03804	SAS	BEB	HG03802	1	0
HG03816	SAS	BEB	HG03814	1	0
HG03831	SAS	BEB	HG03829	1	0
HG03834	SAS	BEB	HG03832	1	0
HG03874	SAS	ITU	HG03874	1	0
HG03927	SAS	BEB	HG03925	1	0
HG03942	SAS	BEB	HG03940	1	0
HG04115	SAS	STU	HG03894	1	0
HG04157	SAS	BEB	HG04155	1	0
HG04160	SAS	BEB	HG04158	1	0
HG04184	SAS	BEB	HG04182	1	0
HG04187	SAS	BEB	HG04185	1	0
HG04199	SAS	STU	HG04099	1	0
HG04204	SAS	STU	HG03642	1	0
HG04228	SAS	STU	HG04227	1	0
NA18565	EAS	CHB	NA18565	1	0
NA18570	EAS	CHB	NA18570	1	1
NA18608	EAS	CHB	NA18608	1	1
NA18620	EAS	CHB	NA18620	1	1
NA18747	EAS	CHB	NA18747	1	1
NA18940	EAS	JPT	NA18940	1	1
NA18943	EAS	JPT	NA18943	1	1
NA18944	EAS	JPT	NA18944	1	1
NA18945	EAS	JPT	NA18945	1	1
NA18948	EAS	JPT	NA18948	1	1
NA18952	EAS	JPT	NA18952	1	1
NA18959	EAS	JPT	NA18959	1	1
NA18960	EAS	JPT	NA18960	1	1
NA18967	EAS	JPT	NA18967	1	1
NA18970	EAS	JPT	NA18970	1	1
NA18971	EAS	JPT	NA18971	1	1
NA18974	EAS	JPT	NA18974	1	1
NA18976	EAS	JPT	NA18976	1	1
NA18982	EAS	JPT	NA18982	1	0
NA18983	EAS	JPT	NA18983	1	0
NA18990	EAS	JPT	NA18990	1	1
NA19007	EAS	JPT	NA19007	1	1
NA19066	EAS	JPT	NA19066	1	1
NA19079	EAS	JPT	NA19079	1	1
NA19087	EAS	JPT	NA19087	1	1
NA19088	EAS	JPT	NA19088	1	1
NA20850	SAS	GIH	NA20850	1	0
NA20870	SAS	GIH	NA20870	1	0
NA20905	SAS	GIH	NA20905	1	0
NA21093	SAS	GIH	NA21093	1	0
NA21102	SAS	GIH	NA21102	1	0
NA21106	SAS	GIH	NA21106	1	0
NA21110	SAS	GIH	NA21110	1	0
NA21144	SAS	GIH	NA21144	1	0
