stratum	endpoint	method	gene	donors	genotypes	called	correct	genotype_accuracy_pct	alleles	allele_matches	allele_accuracy_pct
EAS	assembly_exact_CDS_twofield	Locityper_full	A	20	20	20	15	75.0	40	35	87.5
EAS	assembly_exact_CDS_twofield	Locityper_full	ALL	20	159	152	137	86.16352201257861	318	296	93.08176100628931
EAS	assembly_exact_CDS_twofield	Locityper_full	B	20	20	20	16	80.0	40	36	90.0
EAS	assembly_exact_CDS_twofield	Locityper_full	C	19	19	18	16	84.21052631578948	38	35	92.10526315789474
EAS	assembly_exact_CDS_twofield	Locityper_full	DPA1	20	20	20	20	100.0	40	40	100.0
EAS	assembly_exact_CDS_twofield	Locityper_full	DPB1	20	20	20	19	95.0	40	39	97.5
EAS	assembly_exact_CDS_twofield	Locityper_full	DQA1	20	20	19	19	95.0	40	39	97.5
EAS	assembly_exact_CDS_twofield	Locityper_full	DQB1	20	20	20	19	95.0	40	39	97.5
EAS	assembly_exact_CDS_twofield	Locityper_full	DRB1	20	20	15	13	65.0	40	33	82.5
EAS	assembly_exact_CDS_twofield	Locityper_hprc	A	20	20	20	14	70.0	40	34	85.0
EAS	assembly_exact_CDS_twofield	Locityper_hprc	ALL	20	159	159	134	84.27672955974843	318	292	91.82389937106919
EAS	assembly_exact_CDS_twofield	Locityper_hprc	B	20	20	20	14	70.0	40	33	82.5
EAS	assembly_exact_CDS_twofield	Locityper_hprc	C	19	19	19	17	89.47368421052632	38	36	94.73684210526316
EAS	assembly_exact_CDS_twofield	Locityper_hprc	DPA1	20	20	20	20	100.0	40	40	100.0
EAS	assembly_exact_CDS_twofield	Locityper_hprc	DPB1	20	20	20	19	95.0	40	39	97.5
EAS	assembly_exact_CDS_twofield	Locityper_hprc	DQA1	20	20	20	20	100.0	40	40	100.0
EAS	assembly_exact_CDS_twofield	Locityper_hprc	DQB1	20	20	20	19	95.0	40	39	97.5
EAS	assembly_exact_CDS_twofield	Locityper_hprc	DRB1	20	20	20	11	55.0	40	31	77.5
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	A	20	20	4	0	0.0	40	0	0.0
